Date,IR,Inflation,GDP,RF,Mortality
31/8/12,0,0.126289355,0.003741605,-0.009899186,0.035473361
30/9/12,0,0.004451046,0.006338537,-0.011949201,0.025664927
31/10/12,0,0,0.006073068,-0.014067549,0.060216478
30/11/12,0,0,0.005721034,-0.016117563,0.151057955
31/12/12,0,0.039505156,0.005357266,-0.018235911,-0.06674479
31/1/13,0,0.001316839,0.006701358,-0.012902842,-0.139240568
28/2/13,0,-0.123267894,0.007966796,-0.007861532,-0.163921534
31/3/13,0,0.080080901,0.009367816,-0.002280082,0.178320672
30/4/13,0,0.080274997,0.008100691,0.003121322,0.456176359
31/5/13,0,-0.035373506,0.006697866,0.008702772,0.022484666
30/6/13,0,-0.040768618,0.005340293,0.014104176,0.145011275
31/7/13,0,-0.001316839,0.005710139,0.019685626,0.102295634
31/8/13,0,-0.176440216,0.006139074,0.025267076,-0.087828541
30/9/13,0,-0.055660903,0.006554172,0.03066848,-0.00313711
31/10/13,0,-0.001654622,0.006557451,0.03624993,0.108307661
30/11/13,0,-0.052264981,0.006546895,0.041651334,0.020640649
31/12/13,0,-0.115727687,0.006535986,0.047232784,-0.057056408
31/1/14,0,-0.066256086,0.006271424,0.042075758,0.161569621
28/2/14,0,0.118388084,0.006024827,0.037094489,-0.004011163
31/3/14,0,-0.117088101,0.00575181,0.031579514,0.00471747
30/4/14,0,0.172072067,0.005690274,0.02624244,0.049253979
31/5/14,0,-0.108102242,0.005633908,0.020727465,0.001637817
